Year,Sum_Pages,Count_Newspapers
1830,10,4
1838,55,10
1842,10,4
1856,10,4
1865,10,4
1866,377,145
1867,580,211
1868,518,203
1873,20,8
1874,392,158
1875,355,137
1876,413,166
1877,342,137
1878,1966,502
1879,608,243
1881,510,204
1882,526,204
1883,483,194
1884,362,146
1885,1332,296
1886,1224,272
1887,977,220
1888,758,171
1889,2712,432
1890,7072,992
1891,2292,470
1892,2290,372
1893,2262,380
1894,8781,1662
1895,17385,3309
1896,18895,3325
1897,16174,2939
1898,19535,3370
1899,20874,3454
1900,28820,4446
1901,34202,6150
1902,30539,4968
1903,26981,4241
1904,3217,681
1905,3145,617
1906,8588,1742
1907,11699,2277
1908,4744,843
1909,6293,1054
1910,14205,1890
1911,14023,1797
1912,25488,3108
1913,12434,2362
1914,14909,3546
1915,18640,4264
1916,15887,4065
1917,18762,4506
1918,21622,4487
1919,32180,5386
1920,39126,6315
1921,23259,5023
1922,46079,6682
1923,52848,7115
1924,54506,7240
1925,36734,6524
1926,38605,6640
1927,43112,7199
1928,50080,7581
1929,50854,8066
1930,53769,8282
1931,39591,7571
1932,31433,6526
1933,29270,6205
1934,38766,7276
1935,42029,7644
1936,43472,7827
1937,47001,8480
1938,38564,7492
1939,38911,6989
1940,44281,7249
1941,57490,8682
1942,62483,9561
1943,51593,8281
1944,62370,9264
1945,66783,8955
1946,83253,9983
1947,86653,10826
1948,94020,11069
1949,75942,8746
1950,101544,9276
1951,102308,9217
1952,113865,9863
1953,125654,10674
1954,135882,10988
1955,176506,11686
1956,179527,11662
1957,172214,11102
1958,174607,10985
1959,199855,12371
1960,195014,12536
1961,167798,11677
1962,172265,12571
1963,176130,12362
1964,191133,13159
1965,228600,14070
1966,276630,15370
1967,263898,15187
1968,339664,17460
1969,390022,18887
1970,540354,23819
1971,454523,22639
1972,803761,30355
1973,622263,26477
1974,526589,25513
1975,504267,25274
1976,582637,23396
1977,482383,17975
1978,526247,18263
1979,424497,12791
1998,368825,12239
1999,384833,12641
2000,411199,12896
2001,94050,2971
2003,357618,12802
2004,418936,13988
2005,436276,14927
2006,349242,13363
2007,498563,22241
2008,384057,13780
2009,385941,14366
2010,91884,6573
2011,66947,5349
2012,178069,7043
2013,147782,8691
2014,89542,6724
2015,40386,2948
2016,107142,8005
2017,55771,5133
2018,45016,3644
